waiting for yesterday,"It's a long way back to reality, she puts another. Brick in the wall of shame she made so long ago. Trying to figure out where things went wrong. Searching through all the lies she told. Somehow she missed out on all the things that. She needed most days spent wondering why this. Life is so cold and nothing ever changes. Screaming for attention, watch the sun steal. Yesterday. Hiding all emotion far away. Trying to find his self confidence, another. Broken heart behind the painless smile that he. Shows reminded that yesterday is so far gone. And tomorrow is still a miracle somehow he. Missed out on all the things he needed most days. Spent wondering why this life is so cruel and. Nothing ever changes. Tomorrow's still a miracle"
blind,"I'm not okay but patiently I wait. I sit here hoping that we will be saved. Am I too late or am I just in time?. It's just too dark to see through blinded eyes. And I can't see you walk away. 'Cause you're already gone. Because in this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. 'Cause love is always hard to find. But without you here lately, I'm blind. I'm awake, I saw you in my dreams. You came to me and never turned away. To be okay, something's gotta change. 'Cause with the lights on I still feel the same. I can't see you walk away. Tell me where did I go wrong?. Because in this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. In this life I have to choose. Between losing me and losing you. It's so unfair I do this on my own. 'Cause love is always hard to find. But without you here lately, I'm blind. I stumble, you don't let me fall. Maybe you love me after all. I'll take whatever brings you back. Nobody makes me feel like that. Please don't ever let me lose your light. In this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. In this life I have to choose. Between losing me and losing you. It's so unfair I do this on my own. 'Cause love is always hard to find. But without you here lately, I'm blind. Now I see through open eyes. That without you here lately I'm blind. I'm okay and patiently I wait"
blessing,Offer my hand you spit in my face. Blinded by failures you can't face the shame. The walls of your fortress come tumbling down. You cry for a savior no ones around. Paint me a picture of how things went wrong. 'cause this violence play your favorite song. Swim through the void as black as your soul. Never forget. You've lost control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace. Glued to the past a moth to a flame. Where will you hide. When you can't shift the blame. The further you fall the more that I gain. Never forget you've caused this pain. You feel. Burning deep inside of you. Behind the veil. Never take control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace. No. You will never change. No no. You will never change. No. You will never change. No no. You will never change. You've lost control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace
the way i feel,"Lately I've been wandering. Off the narrow path. You've given me so many things that I've never had. And all in all I know it's you that always pulls me through. If you reach deep inside you'll see my heart is true. ‘Cause I hate the way I feel tonight. And I know I need you in my life. Yes I hate the way I feel inside. And I promise to make the sacrifice, Yeah!. (Come on). The world I know is pulling me. More and more each day. I feel like the odd man out as I begin to pray. Spiteful eyes are watching me. With everything I do. In the midst of darkness Lord. My spirit calls for you. ‘Cause I hate the way I feel tonight. And I know I need you in my life. Yes I hate the way I feel inside. And I promise to make the sacrifice, Yeah!. (You know sometimes deep inside). I feel like this. ‘Cause I hate the way I feel tonight. And I know I need you in my life. Yes I hate the way I feel inside. And I promise to make the sacrifice. Yes I hate the way I feel tonight. And I know I need you in my life, Yeah!. The Way I feel. The Way.... The Way I feel"
arms of a stranger,"I came home early to see you,. Couldn't wait to hold you,. I've been away for so long now,. But as I walked through the doorway,. My heart was shattered,. To find that you're not alone,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. The days just seem so much longer,. Now that I'm without you,. It never seems to get better,. I'll try to hold it together,. And I can't wait for,. The day you fade from my memory, yeah,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. In the arms of a stranger,. In the arms of a stranger,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. When will I break,. Its your mistake,. Everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. I came home early to see you, couldn't wait to hold you,. You're in the arms of a stranger."
far away,Something. Keeps on pulling me down. And i feel. Like i'm losing ground. Trying. Just to find my reasons. And losing sense of what is real. Willing. To believe in something. Forgetting. To believe in me. Will i. Find my place in your mind. Or will i fall away in time. Chorus:. Now i'm feeling. So far away. And now i'm hating you. Every day. Waiting. Just to see the image. You follow. Down that road again. Trying. Just to find your purpose. You're fading faster every day. Willing. To believe in something. Forgetting. To believe in me. Will i. Find my place in your mind. Or will i fall away in time. Chorus. Now i feel i'm losing time. Yesterday. Slipped away. When you didn't know. Time and time again you wanted. More than i had to give. To leave me with nothing. I'm waiting. And dreaming. Yesterday. Slipped away. When you didn't know. And no more waiting. Let me back. Chorus x2. (Now i'm feeling). So far away x3. by juniorshould
for the night,"There's a time in everybody's life. When nothing's going right for you. Take a chance. Take a step out on the ledge. Take a good look down. And realize it's all for you. For the night. I'm putting up a fight. I've opened up my eyes. To see a world a I never knew. It's time, time to put the past away. Time to take all of your life's reel. And learn to live again. So alive as you open up your mind. As you break away from everything. All that's stopping you. For the night. I'm putting up a fight. I've opened up my eyes. To see a world a I never knew. Time to fly. Time to kiss your fears goodbye. Time to take control and realize. This world was made for you. There's a time in everybody's life. When nothing's going right for you. Take a chance. Take a step out on the ledge. Take a good look down. And realize it's all for you. For the night. I'm putting up a fight. I've opened up my eyes. To see a world a I never knew. Time to fly. Time to kiss your fears goodbye. Time to take control and realize. This world was made for you"
broken road,"Time moves slowly while you're gone. I haven't heard your voice in quite sometime. But I still see your face. I cannot erase the things you've done. And all the ways you caught me hangin on. Now you're gone, I moved on. And I don't feel so sorry. Can't you see I'm bleeding, but I won't bleed anymore. I held on for so long now. But I had to let you go. At the end of a broken road. I know it hurts to hear the truth. Well maybe I was never meant to be with you. And I cannot replace the tears of disgrace. That run for you. 'Cause running from the truth is what you do. Now you're gone, I moved on. And I don't feel so sorry. Can't you see I'm bleeding, but I won't bleed anymore. I held on for so long now. But I had to let you go. At the end of a broken road. You're all that I've ever known. And I cannot replace all these tears of disgrace. And I won't bleed for you anymore. Now you're gone, I moved on. And I don't feel so sorry. Can't you see I'm bleeding, but I won't bleed anymore. I held on for so long now. But I had to let you go. At the end of a broken road. . by:Milena Vieira"
the killer,Say you love and hate me. As you desecrate me. Break me down with a smile. Feel it creeping closer. The rich taking over. You're out for blood with fire in your lungs. When the killer takes control. Over your body and your soul. Everything dies. Trapped in this hell you can't contain. Your misery becomes my pain. When I survive. Swear I hate to do this. With the same excuses. Anger swallows me whole. You feel it creeping closer. The rich taking over. You're out for blood with fire in your lungs. When the killer takes control. Over your body and your soul. Everything dies. Trapped in this hell you can't contain. Your misery becomes my pain. When I survive. When the killer takes control. Over your body and your soul. Everything dies. Trapped in this hell you can't contain. Your misery becomes my pain. When I survive
how long,"Seems so simple, plant the seed. And let it grow. We can't control. The way we continue to be sold. Doesn't matter what you know because. You do just what you're told. Trusting in the insincere. Will leave you hopeless. How long until we finally wake up. Living in a world we made up. How much of this is real?. It's gonna be a long time. Until we all get over. Always getting one day older. With no one at the wheel, yeah. It's all but over. We're getting up and letting go. And our story's ending before it's even told. Doesn't matter what you do. If the choice is made for you. Trusting in the insincere. Will leave you hopeless. How long until we finally wake up. Living in a world we made up. How much of this is real?. It's gonna be a long time. Until we all get over. Always getting one day older. With no one at the wheel, yeah. How long. Are you gonna let 'em pull you down. Without a fight?. Come on. Are you gonna let 'em pull you down. Without a fight?. How long until we finally wake up. Living in a world we made up. How much of this is real?. It's gonna be a long time. Until we all get over. Always getting one day older. With no one at the wheel, yeah"
photograph,Fear falls hard like rain again. Washing over me. You say nothing will ever change. What do i believe. You fall deep inside again. Nothing left to see. Weakness fills your heart again. You put it to rest. Chorus:. Forfeit everything. 'Cause you were never strong enough. Close my eyes again. And pray that i will not give up. I try to see your face again. A Photograph for me. Your voice calling out again. Nothing left for me. You try to find your place again. Waiting just to breathe. Weakness takes your heart again. You put it to rest. Locked inside again x3. Chorus x2. Did you forget about the things i said. Fight the lies inside your head. Deny those who try to bring you down. Kill the pain and emptiness. Find a love and lose yourself. Without this life you're just a memory. Locked inside again x3
infected,"It's so pathetic. In a million ways. What a desperate disgrace. Strung out, so proud, big mouth. Have we gone to far to change. Brainwashed. Like hollywood. Spreading through your neighborhood. Built up, burnt down, watch out. Now its gotten in our blood. Time is running out. It's running out, it's running out. I feel weak. I feel numb. Had enough. Of this poison we've injected. Living in this world infected. Out, let me out. Tell me how. We all got so disconnected. Sick of living in this world infected. It's systematic. Livin in this haze. Sleeping on a live grenade. Blacked out, face down, no sound. We're blowin up this place. How long. Can we endure. When we've tainted all that's pure. Selfish, high risk, death wish. What if no one finds a cure. Time is running out. It's running out, it's running out. I feel weak. I feel numb. Had enough. Of this poison we've injected. Living in this world infected. Out, let me out. Tell me how. We all got so disconnected. Sick of living in this world infected"
bulletproof,"The Blood is in the water. The cuts no longer bring me down. Don't you even bother. I've seen enough to take you down. Love, hate, pride. bottled up inside. Let it go!. Gonna Let it go!. (BANG!). I'm feeling Superhuman. (BANG!). I'm invincible, I'm bulletproof. (BANG!). I'm at a revolution. (BANG!). I'm invincible, I'm bulletproof. (Don't you know I'm bulletproof?). The fight has made me stronger. I could never turn back now. Don't you point the finger. Your words no longer bring me down. I'm finally taking over. The truth has surfaced all around. The days of going under. Have risen up and can't be found. Love, hate, pride. bottled up inside. Let it go!. Gonna Let it go!. (BANG!). I'm feeling Superhuman. (BANG!). I'm invincible, I'm bulletproof. (BANG!). I'm at a revolution. (BANG!). I'm invincible, I'm bulletproof. (Don't you know I'm bulletproof?). (instrumental). Bulletproof!. Bulletproof!. (instrumental). Superhuman!. Revolution!. Love, hate, pride. bottled up inside. Let it go!. Gonna Let it go!. (BANG!). I'm feeling Superhuman. (BANG!). I'm invincible, I'm bulletproof. (BANG!). I'm at a revolution. (BANG!). I'm invincible, I'm bulletproof. (BANG!). I'm feeling superhuman. (BANG!). I'm invincible, I'm bulletproof. (BANG!). I'm at a revolution. (BANG!). I'm invincible, I'm bulletproof. Love, hate pride. bottled up inside!. Love, hate, pride. bottled up inside!. Love, hate, pride. bottled up inside!. Let it go!. Gonna Let it go!"
voodoo doll,"Don't pull my strings. I wanna know who died and crowned you king. You take this way too far and all your pain. Why do you take it out on me. You take it out on me, yeah. You're lighting up candles. Flying off the handle. Your crystal ball is lying. You can't control me. You can't hold me. Over your fire. No I'm not your voodoo doll. Not a victim strangled in your cloth. You think you got me underneath your spell. With your voodoo voodoo. You're playing dirty and your magic's black. I'm pulling needles out of my back. You think you cursed me but I won't fall. 'cause I'm not your voodoo voodoo doll. You know you haunt my dreams. Your so called power is not what it seems. Your darkest hour is not mine to face. So don't you take it out on me. Take it out on me, yeah. You're lighting up candles. Flying off the handle. Your crystal ball is lying. You can't control me. You can't hold me. Over your dying fire. No I'm not your voodoo doll. Not a victim strangled in your cloth. You think you got me underneath your spell. With your voodoo voodoo. You're playing dirty and your magic's black. I'm pulling needles out of my back. You think you cursed me but I won't fall. 'cause I'm not your voodoo voodoo doll. Don't pull my strings. I wanna know who died and crowned you king. No I'm not your voodoo doll. Not a victim strangled in your cloth. You think you got me underneath your spell. With your voodoo voodoo. You're playing dirty and your magic's black. I'm pulling needles out of my back. You think you cursed me but I won't fall. 'cause I'm not your voodoo voodoo doll. Yeah. Your voodoo doll. Not your voodoo voodoo"
pretty poison,"You say you love me. Then burn me again. It's so easy to let you in. Now I'm standing at the end again. You lifted me up. You're tearing me down. I don't know where to go from here. Feeding the rage that hides within. You have finally locked me in. Will you ever let me go?. Pretty poison you're in my veins. Go away, go away. I don't need you anymore. You trap me, you haunt me, you trick me again. You're the reason I always give in. You have pushed me to the edge again. You lifted me up. You're tearing me down. I don't know where to go from here. Feeding the rage that hides within. You have finally locked me in. Will you ever let me go?. Pretty poison you're in my veins. Go away, go away. Won't you leave me for just one day?. Just one day?. Pretty poison you're in my veins. Go away, go away. I don't need you anymore. Leave me alone, leave me alone. All the voices inside my head. Leave me alone, leave me alone. All the voices inside my head. Pretty poison you're in my veins. Go away, go away. Won't you leave me for just one day?. Just one day?. Pretty poison you're in my veins. Go away, go away. Won't you leave me for just one day?. Just one day?. Pretty poison you're in my veins. Go away, go away. I don't need you anymore"
3 leaf loser,"Biting the hand that feeds you, lying to the voice. Inside, reach out to beg for something this life. Is a lesson, take what you're given feeding on. Self destruction, waiting to explode again, no. Sign of resolution this life is a lesson, take what. You're given. You don't need direction to find your way, don't. You listen to yourself now and again killing. Time, killing you mind over matter, stop and. Listen to yourself now. Bend me before i breakdown, dying to be free. Within, it's not how you'd like to see it this life. Is a lesson, take what you're given forcing your. Self solution as you fall into line again, when. Will i find the answers this life is a lesson, take. What you're given. Falling to the ground, left face down as i recall. The mirrors ugly glare"
adrenaline,"My heart is beating faster can't control these feelings. anymore,. I've waited long enough I want it more than. anyone,. Its time to step up and deliver what you want to see,. My blood is pumping now this is how its gonna be,. Its 45 minutes of love,. I wanna see you push and you shove,. I'll show you just how far too go,. Its time to loose all control,. Its a feeling,. I can't control these feelings anymore,. Believe me,. My heart is racing and I can't seem to get. enough,. Am I dreaming,. Just like a drug but I know its just. adrenaline, go,. Just feel it,. Ooooh my heart is beating faster,. My adrenaline reaches its limit I can feel it taking. over me,. My head is spinning and it seems like I. can hardly breathe,. You get a taste its like a drug that you don't wanna. leave,. So if you want it let me see you put your fists in the. air,. Its 45 minutes of love,. I wanna see you push and you shove,. I'll show you just how far too go,. Its time to loose all control,. Its a feeling,. I can't control these feelings anymore,. Believe me,. My heart is racing and I can't seem to get. enough,. Am I dreaming,. Just like a drug but I know its just. adrenaline, go,. Just feel it,. Ooooh my heart is beating faster,. My heart is beating faster can't control these feelings. anymore,. I've waited long enough I want it more than. anyone,. Its time to step up and deliver what you want to see,. My blood is pumping now this is how its gonna be,. Its a feeling,. I can't control these feelings anymore,. Believe me,. My heart is racing and I can't seem to get. enough,. Am I dreaming,. Just like a drug but I know its just. adrenaline, go,. Just feel it,. Ooooh my heart is beating faster,. Its 45 minutes of love,. My heart is beating faster."
anthem for the underdog,You say you know just who I am. But you can't imagine. What waits for you across the line. You thought you had me. But I'm still here standing. And I'm tired of backing down. And I'm here now feelin' the pain. Of a thousand hearts. Been to hell and back again. I won't take this. You try so hard to bring me down. You can't break the broken. You still don't seem to understand. It's your turn to see just. How it feels to be me. How it feels to be knocked down. And you're here now feeling the pain. Of a thousand hearts. You've been to hell and back again. You can't take this. Remember. This feeling. How it feels to be alive. Now you see me through my eyes. And we're here now feeling the beat. Of a thousand hearts. Coming back to life again. We can make it. Remember. This feeling. Remember...
anthem for the underdog (picture perfect sessions),You say you know just who I am. But you can't imagine. What waits for you across the line. You thought you had me. But I'm still here standing. And I'm tired of backing down. And I'm here now feeling the pain. Of a thousand hearts. Been to hell and back again. I won't take this. You try so hard to bring me down. You can't break the broken. You still don't seem to understand. It's your turn to see just. How it feels to be me. How it feels to be knocked down. And you're here now feeling the pain. Of a thousand hearts. You've been to hell and back again. You can't take this. Remember. This feeling. How it feels to be alive. Now you see me through my eyes. And we're here now feeling the beat. Of a thousand hearts. Coming back to life again. We can make it. Remember. This feeling. Remember
arms of a stranger,"I came home early to see you,. Couldn't wait to hold you,. I've been away for so long now,. But as I walked through the doorway,. My heart was shattered,. To find that you're not alone,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. The days just seem so much longer,. Now that I'm without you,. It never seems to get better,. I'll try to hold it together,. And I can't wait for,. The day you fade from my memory, yeah,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. In the arms of a stranger,. In the arms of a stranger,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. When will I break into pieces,. Its your mistake,. I finally see that everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. When will I break,. Its your mistake,. Everything I thought was you was a lie,. Now your loves not dieing,. Its in the arms of a stranger,. I came home early to see you, couldn't wait to hold you,. You're in the arms of a stranger."
back up,. I hear the words you say to me. I see the way you look at me. I know what's on your mind so. Stand up get up back up now. Just stay away. I know the fear you hold inside. I know what's weighing on your mind. There's nothing you can do so. Stand up get up back up. You're reaching out just to be like me. But you've fallen short. Still you're following me. You had the chance to bring me down. But there's nothing left. So just stay away from me. You can't stand to see my face. To know you'll never take my place. There's nothing you can do but. Stand up get up back up now. Just stay away. I feel the hate you push on me. I see the things that you can't see. I know what's on your mind so. Stand up get up back up. It's not the things you say to me. It's not the things that I believe. You try to bring me down. So stand up get up back up now Just stay away.
bitter,"Mother mother can you hear me,I keep trying. Just to find me all I know now, all you show me,. Endless questions, hopeless ending. This bitter pill is pushing me away and now I feel. Like there's nothing left to say and I pretend to. Look the other way but in the end will I be okay,. Will I be okay. Father father will you be there as I cry out. Silent again turning colder, frozen deeper,. Numb to this dream sleeping within. Before I face another day, won't you let stay asleep,. Lost among the dreams that always comfort me. And before I find my feet, won't you show me. What I need, what I need to walk again"
blessing,Offer my hand you spit in my face. Blinded by failures you can't face the shame. The walls of your fortress come tumbling down. You cry for a savior no ones around. Paint me a picture of how things went wrong. 'cause this violence play your favorite song. Swim through the void as black as your soul. Never forget. You've lost control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace. Glued to the past a moth to a flame. Where will you hide. When you can't shift the blame. The further you fall the more that I gain. Never forget you've caused this pain. You feel. Burning deep inside of you. Behind the veil. Never take control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace. No. You will never change. No no. You will never change. No. You will never change. No no. You will never change. You've lost control of me. Never change who I am. Lies will never hide the truth. Pain is a blessing in disguise. I shiver at the thought of you. Now I'll see you on your way. As you fall from grace
blind,"I'm not okay but patiently I wait. I sit here hoping that we will be saved. Am I too late or am I just in time?. It's just too dark to see through blinded eyes. And I can't see you walk away. 'Cause you're already gone. Because in this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. 'Cause love is always hard to find. But without you here lately, I'm blind. I'm awake, I saw you in my dreams. You came to me and never turned away. To be okay, something's gotta change. 'Cause with the lights on I still feel the same. I can't see you walk away. Tell me where did I go wrong?. Because in this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. In this life I have to choose. Between losing me and losing you. It's so unfair I do this on my own. 'Cause love is always hard to find. But without you here lately, I'm blind. I stumble, you don't let me fall. Maybe you love me after all. I'll take whatever brings you back. Nobody makes me feel like that. Please don't ever let me lose your light. In this dark you are my light. The one that brings me back to life. I won't be okay doing this all alone. In this life I have to choose. Between losing me and losing you. It's so unfair I do this on my own. 'Cause love is always hard to find. But without you here lately, I'm blind. Now I see through open eyes. That without you here lately I'm blind. I'm okay and patiently I wait"
broken,Freedom!. Alone again again alone. Patiently waiting by the phone. Hoping that you will call me home. The pain inside my love denied. Hopes and dreams swallowed by pride. Everything I need it lies in you. 'Cause I'm broken. I know I need you now. 'Cause deep inside I'm broken. You see the way I live. I know I know your heart is broken. When I turn away. I need to be broken. Take the pain away. I question why you chose to die. When you knew your truth I would deny. You look at me. The tears begin to fall. And all in all faith is blind. But I fail time after time. Daily in my sin I take your life. 'Cause I'm broken. I know I need you now. 'Cause deep inside I'm broken. You see the way I live. I know I know your heart is broken. When I turn away. I need to be broken. Take the pain away. All the hate deep inside. Slowly covering my eyes. All these things I hide. Away from you again. All this fear holding me. My heart is cold and I believe. Nothing's gonna change. Until I'm broken. This time. Let go!. 'Cause I'm broken. I know I need you now. 'Cause deep inside I'm broken. You see the way I live. I know I know your heart is broken. When I turn away. I need to be broken. Take the pain away. Broken. Broken. Broken. Broken
